platform,org,repo,metric,timeKey,value,country,category,orgLabel
github,NixOS,nixpkgs,activity,2023-05,4460.18,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-06,4369.31,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-07,4901.74,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-08,4973.57,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-09,4877.58,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-10,5315.52,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-11,5525.73,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023-12,5248.22,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-01,5692.76,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-02,5319.68,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-03,6036.14,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-04,5960.18,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-05,6027.33,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-06,5890.1,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-07,6403.28,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-08,6087.23,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-09,6070.26,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-10,6520.14,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-11,6647.86,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024-12,6753.26,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-01,6563.5,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-02,5989.04,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-03,6611.82,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-04,5818.17,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-05,6238.66,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-06,4885.15,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-07,4722.64,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-08,4754.1,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-09,4460.99,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-10,3282.24,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-11,3266.06,CH,os,NixOS
github,NixOS,nixpkgs,activity,2025-12,3262.69,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021-10-raw,1687.66,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015Q1,2175.57,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015Q2,2118.35,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015Q3,2244.26,CH,os,NixOS
github,NixOS,nixpkgs,activity,2015Q4,2766.1,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016Q1,3124.1,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016Q2,3264.63,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016Q3,3467.37,CH,os,NixOS
github,NixOS,nixpkgs,activity,2016Q4,3445.58,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017Q1,4035.86,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017Q2,3881.01,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017Q3,4083.17,CH,os,NixOS
github,NixOS,nixpkgs,activity,2017Q4,4633.05,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018Q1,5250.4,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018Q2,5047.69,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018Q3,5090.03,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018Q4,5669.39,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019Q1,5902.52,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019Q2,5912.85,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019Q3,6725.67,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019Q4,7424.94,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020Q1,7564.77,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020Q2,8674.75,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020Q3,8146.76,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020Q4,9504.04,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021Q1,9890.6,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021Q2,10704.95,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021Q3,9755.12,CH,os,NixOS
github,NixOS,nixpkgs,activity,2021Q4,9180,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022Q1,10884.38,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022Q2,11036.58,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022Q3,11285.67,CH,os,NixOS
github,NixOS,nixpkgs,activity,2022Q4,11858.7,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023Q1,12654.52,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023Q2,13126.36,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023Q3,14752.89,CH,os,NixOS
github,NixOS,nixpkgs,activity,2023Q4,16089.47,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024Q1,17048.58,CH,os,NixOS
github,NixOS,nixpkgs,activity,2024Q2,17877.61,CH,os,NixOS
